product_category_name;faturamento_total
agro_industria_e_comercio;72530,0
alimentos;29393,0
alimentos_bebidas;15179,0
artes;24203,0
artes_e_artesanato;1814,0
artigos_de_festas;4485,0
artigos_de_natal;8801,0
audio;50688,0
automotivo;592720,0
bebes;411765,0
bebidas;22429,0
beleza_saude;1258681,0
brinquedos;483947,0
cama_mesa_banho;1036989,0
casa_conforto;58572,0
casa_conforto_2;760,0
casa_construcao;83088,0
cds_dvds_musicais;730,0
cine_foto;6933,0
climatizacao;55025,0
consoles_games;157465,0
construcao_ferramentas_construcao;144678,0
construcao_ferramentas_ferramentas;15904,0
construcao_ferramentas_iluminacao;41080,0
construcao_ferramentas_jardim;25716,0
construcao_ferramentas_seguranca;40545,0
cool_stuff;635291,0
dvds_blu_ray;5999,0
eletrodomesticos;80172,0
eletrodomesticos_2;113318,0
eletronicos;160247,0
eletroportateis;190649,0
esporte_lazer;988049,0
fashion_bolsas_e_acessorios;152824,0
fashion_calcados;23563,0
fashion_esporte;2120,0
fashion_roupa_feminina;2804,0
fashion_roupa_infanto_juvenil;570,0
fashion_roupa_masculina;10798,0
fashion_underwear_e_moda_praia;9542,0
ferramentas_jardim;485256,0
flores;1110,0
fraldas_higiene;1568,0
industria_comercio_e_negocios;39670,0
informatica_acessorios;911954,0
instrumentos_musicais;191499,0
la_cuisine;2055,0
livros_importados;4640,0
livros_interesse_geral;46857,0
livros_tecnicos;19096,0
malas_acessorios;140430,0
market_place;28378,0
moveis_colchao_e_estofado;4368,0
moveis_cozinha_area_de_servico_jantar_e_jardim;46328,0
moveis_decoracao;729762,0
moveis_escritorio;273961,0
moveis_quarto;20029,0
moveis_sala;68917,0
musica;6034,0
papelaria;230943,0
pc_gamer;1546,0
pcs;222963,0
perfumaria;399125,0
pet_shop;214315,0
portateis_casa_forno_e_cafe;47446,0
portateis_cozinha_e_preparadores_de_alimentos;3969,0
relogios_presentes;1205006,0
seguros_e_servicos;283,0
sinalizacao_e_seguranca;21509,0
tablets_impressao_imagem;7528,0
telefonia;323668,0
telefonia_fixa;59583,0
utilidades_domesticas;632249,0
